[Mon, 18 Apr 2016 02:46:11 EDT] Running ScrapeBookChaptersProcess with Session Name Harry Potter, English, 5 years old, >10 reviews, >2 reviews/chapter, April 17, 2016 - fix 2
[Mon, 18 Apr 2016 02:46:22 EDT] Scraping book: 11863465; Chapters: 3; Wait times: 3266, 1709, 794, 
[Mon, 18 Apr 2016 02:46:24 EDT] Scraping book: 11863248; Chapters: 1; Wait times: 1929, 
[Mon, 18 Apr 2016 02:46:27 EDT] Scraping book: 11863209; Chapters: 1; Wait times: 2004, 
[Mon, 18 Apr 2016 02:46:28 EDT] Scraping book: 11862790; Chapters: 1; Wait times: 1320, 
[Mon, 18 Apr 2016 02:46:29 EDT] Scraping book: 11861516; Chapters: 1; Wait times: 575, 
[Mon, 18 Apr 2016 02:46:33 EDT] Scraping book: 11861148; Chapters: 1; Wait times: 2705, 
[Mon, 18 Apr 2016 02:46:40 EDT] Scraping book: 11858122; Chapters: 2; Wait times: 2832, 3659, 
[Mon, 18 Apr 2016 02:46:42 EDT] Scraping book: 11857688; Chapters: 1; Wait times: 1207, 
[Mon, 18 Apr 2016 02:46:51 EDT] Scraping book: 11854376; Chapters: 3; Wait times: 4500, 1356, 2319, 
[Mon, 18 Apr 2016 02:47:00 EDT] Scraping book: 11854293; Chapters: 2; Wait times: 4218, 3691, 
[Mon, 18 Apr 2016 02:47:03 EDT] Scraping book: 11852416; Chapters: 1; Wait times: 2168, 
[Mon, 18 Apr 2016 02:47:06 EDT] Scraping book: 11849549; Chapters: 1; Wait times: 3004, 
[Mon, 18 Apr 2016 02:48:04 EDT] Scraping book: 11849191; Chapters: 17; Wait times: 2995, 3087, 2784, 3949, 924, 1602, 4337, 2326, 2427, 1914, 3662, 5026, 1936, 4278, 2758, 2461, 3024, 
[Mon, 18 Apr 2016 02:48:18 EDT] Scraping book: 11847498; Chapters: 5; Wait times: 2231, 2346, 1703, 3121, 2255, 
[Mon, 18 Apr 2016 02:48:52 EDT] Scraping book: 11847330; Chapters: 11; Wait times: 4001, 2422, 3882, 1670, 2279, 2356, 2326, 1529, 2786, 2555, 2074, 
[Mon, 18 Apr 2016 02:48:56 EDT] Scraping book: 11842088; Chapters: 1; Wait times: 3475, 
[Mon, 18 Apr 2016 02:48:59 EDT] Scraping book: 11841084; Chapters: 1; Wait times: 3082, 
[Mon, 18 Apr 2016 02:49:04 EDT] Scraping book: 11840764; Chapters: 2; Wait times: 2013, 1587, 
[Mon, 18 Apr 2016 02:49:13 EDT] Scraping book: 11838558; Chapters: 3; Wait times: 1163, 1764, 4814, 
[Mon, 18 Apr 2016 02:49:23 EDT] Scraping book: 11838510; Chapters: 3; Wait times: 2451, 3209, 2522, 
[Mon, 18 Apr 2016 02:49:26 EDT] Scraping book: 11838303; Chapters: 1; Wait times: 2148, 
[Mon, 18 Apr 2016 02:49:31 EDT] Scraping book: 11836994; Chapters: 2; Wait times: 2098, 2603, 
[Mon, 18 Apr 2016 02:49:44 EDT] Scraping book: 11834902; Chapters: 5; Wait times: 2743, 0, 2315, 4226, 1356, 
[Mon, 18 Apr 2016 02:50:04 EDT] Scraping book: 11833745; Chapters: 7; Wait times: 2199, 2398, 3606, 2770, 846, 2508, 1514, 
[Mon, 18 Apr 2016 02:50:14 EDT] Scraping book: 11832261; Chapters: 3; Wait times: 3028, 3730, 2174, 
[Mon, 18 Apr 2016 02:50:27 EDT] Scraping book: 11831772; Chapters: 4; Wait times: 3496, 2298, 2070, 2894, 
[Mon, 18 Apr 2016 02:50:30 EDT] Scraping book: 11831661; Chapters: 1; Wait times: 2378, 
[Mon, 18 Apr 2016 02:50:33 EDT] Scraping book: 11831304; Chapters: 1; Wait times: 3382, 
[Mon, 18 Apr 2016 02:50:38 EDT] Scraping book: 11830975; Chapters: 1; Wait times: 3608, 
[Mon, 18 Apr 2016 02:50:38 EDT] Scraping book: 11830505; Chapters: 1; Wait times: 0, 
[Mon, 18 Apr 2016 02:50:45 EDT] Scraping book: 11827921; Chapters: 3; Wait times: 0, 2628, 2519, 
[Mon, 18 Apr 2016 02:51:15 EDT] Scraping book: 11827316; Chapters: 10; Wait times: 1865, 2808, 1634, 2276, 2319, 2627, 0, 3947, 3604, 2509, 
[Mon, 18 Apr 2016 02:51:19 EDT] Scraping book: 11826823; Chapters: 1; Wait times: 3331, 
